,Name,Latitude,Longitude,Street1,Street2,Street3,City,CountrySubdivisionCode,Income_x,Population_x,lat-API,long-API,target search add,Income_y,Population_y,Male Pop (%),White (%),Black (%),Asian (%),Hispanic (%),Employed (%),Travel Time to Work (mins),Median Age,Age <18 (%)
43,Clifton Route 3,40.83,-74.14,360 Rt 3,,,Clifton,NJ,74963.0,86207.0,40.8299409,-74.13683019999999,"360 Rt 3, Clifton, NJ",74963.0,86207.0,47.9,66.39,6.73,9.82,37.01,51.71,27.0,40.7,20.38
44,Stop & Shop-Clifton #813,40.83,-74.14,160 Kingsland Rd,,,Clifton,NJ,74963.0,86207.0,40.8258397,-74.13995059999999,"160 Kingsland Rd, Clifton, NJ",74963.0,86207.0,47.9,66.39,6.73,9.82,37.01,51.71,27.0,40.7,20.38
45,Closter,40.97,-73.96,234 Closter Dock Road,,Heidenberg Plaza,Closter,NJ,130670.0,8710.0,40.9724323,-73.9611011,"234 Closter Dock Road, Closter, NJ",130670.0,8710.0,49.4,59.25,3.86,35.98,7.38,46.7,,47.3,25.07
46,Target Closter T-3235,40.97,-73.96,6 Vervalan St,,,CLOSTER,NJ,,,40.9713681,-73.9573806,"6 Vervalan St, CLOSTER, NJ",,,,,,,,,,,
47,Molly Pitcher Adj Snackbar,40.32,-74.49,MM-71.7 S New Jersey Tpke,,,Cranbury,NJ,138906.0,3844.0,40.3215016,-74.488237,"MM-71.7 S New Jersey Tpke, Cranbury, NJ",138906.0,3844.0,52.89,78.67,6.01,12.12,4.92,46.75,,51.5,22.92
48,NJ TP - Molly Pitcher Mobile Truck,40.32,-74.49,New Jersey Turnpike,,,Cranbury,NJ,138906.0,3844.0,40.30815450000001,-74.4924205,"New Jersey Turnpike, Cranbury, NJ",138906.0,3844.0,52.89,78.67,6.01,12.12,4.92,46.75,,51.5,22.92
49,Stop & Shop-Monroe Township #810,40.32,-74.44,1600 Perrineville Road,,,Cranbury,NJ,138906.0,3844.0,40.3161248,-74.43985669999999,"1600 Perrineville Road, Cranbury, NJ",138906.0,3844.0,52.89,78.67,6.01,12.12,4.92,46.75,,51.5,22.92
50,Cranford N Ave E - Drive Thru Only,40.66,-74.29,345 N Ave E,,,Cranford,NJ,122848.0,23972.0,40.6581765,-74.29121839999999,"345 N Ave E, Cranford, NJ",122848.0,23972.0,48.87,89.33,2.81,3.11,9.97,52.78,31.0,43.7,22.55
51,Cranford Train Station,40.65,-74.3,200 South Ave.,Suite 101,,Cranford,NJ,122848.0,23972.0,40.6523976,-74.3208041,"200 South Ave., Cranford, NJ",122848.0,23972.0,48.87,89.33,2.81,3.11,9.97,52.78,31.0,43.7,22.55
52,Delran,40.02,-74.94,1340 Fairview Boulevard,,Hartford Corners,Delran,NJ,94321.0,16747.0,40.018863,-74.94454,"1340 Fairview Boulevard, Delran, NJ",94321.0,16747.0,49.31,82.14,9.6,4.98,2.25,53.56,,41.0,22.14
53,Denville Plaza,40.89,-74.48,2-28 West Main Street,,Denville Plaza,Denville,NJ,116078.0,16822.0,40.893432,-74.478741,"2-28 West Main Street, Denville, NJ",116078.0,16822.0,47.63,87.21,2.16,8.27,6.6,53.18,29.0,45.8,22.67
54,Route 10 Denville,40.87,-74.51,3056 Route 10 West,,,Denville,NJ,116078.0,16822.0,40.8661795,-74.5063192,"3056 Route 10 West, Denville, NJ",116078.0,16822.0,47.63,87.21,2.16,8.27,6.6,53.18,29.0,45.8,22.67
55,Deptford Mall,39.83,-75.1,1750 Deptford Center Road,KI08,,Deptford,NJ,67983.0,30556.0,39.8314319,-75.09782489999999,"1750 Deptford Center Road, Deptford, NJ",67983.0,30556.0,47.29,74.04,13.75,5.92,7.43,51.52,26.0,44.9,20.13
56,"Route 18 & Tices, East Brunswick",40.46,-74.4,300 Route 18 North,,,East Brunswick,NJ,105959.0,48673.0,40.4564081,-74.3969074,"300 Route 18 North, East Brunswick, NJ",105959.0,48673.0,46.91,66.3,4.56,25.57,7.52,51.67,35.0,46.1,21.07
57,East Hanover - Rt 10,40.8,-74.36,405 Route 10 East,,,East Hanover,NJ,121769.0,11241.0,40.8011596,-74.360374,"405 Route 10 East, East Hanover, NJ",121769.0,11241.0,46.16,84.18,0.82,13.04,14.45,50.14,,47.3,19.63
58,Target East Hanover T-1491,40.81,-74.38,130 State Rte 10,,,East Hanover,NJ,121769.0,11241.0,40.81592759999999,-74.39882930000002,"130 State Rte 10, East Hanover, NJ",121769.0,11241.0,46.16,84.18,0.82,13.04,14.45,50.14,,47.3,19.63
59,NJ TP Vince Lombardi Travel Plaza,40.83,-74.0,NJTP MM 116,,,East Ridgefield,NJ,,,40.8227899,-74.02967869999999,"NJTP MM 116, East Ridgefield, NJ",,,,,,,,,,,
60,"East Rutherford, Rt. 17",40.83,-74.09,10 State Route 17,,,East Rutherford,NJ,77400.0,9433.0,40.8313531,-74.08887229999999,"10 State Route 17, East Rutherford, NJ",77400.0,9433.0,48.49,68.72,4.7,19.43,20.65,53.04,27.0,39.0,18.46
